query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	evidence_codes	intersection
1	query_1	TRUE	2.81405920318979e-08	5	31	5	0.161290322580645	1	CORUM:6389	CORUM	HOPS complex	3383	2092	CORUM,CORUM,CORUM,CORUM,CORUM	VPS33A,VPS18,VPS41,VPS16,VPS39
2	query_1	TRUE	0.00237684070065584	13	31	4	0.129032258064516	0.307692307692308	CORUM:287	CORUM	ARC-L complex	3383	169	CORUM,CORUM,CORUM,CORUM	MED23,MED12,CDK8,MED24
3	query_1	TRUE	0.00330631031654169	14	31	4	0.129032258064516	0.285714285714286	CORUM:6888	CORUM	v-ATPase-Ragulator-AXIN/LKB1-AMPK complex	3383	2439	CORUM,CORUM,CORUM,CORUM	LAMTOR3,LAMTOR5,LAMTOR1,LAMTOR2
4	query_1	TRUE	0.00330631031654169	14	31	4	0.129032258064516	0.285714285714286	CORUM:288	CORUM	ARC complex	3383	170	CORUM,CORUM,CORUM,CORUM	MED23,MED12,CDK8,MED24
5	query_1	TRUE	0.00419858958254907	5	31	3	0.0967741935483871	0.6	CORUM:2573	CORUM	Class C VPS/HOPS complex	3383	1088	CORUM,CORUM,CORUM	VPS18,VPS16,VPS39
6	query_1	TRUE	0.00419858958254907	5	31	3	0.0967741935483871	0.6	CORUM:6388	CORUM	CORVET complex	3383	2091	CORUM,CORUM,CORUM	VPS33A,VPS18,VPS16
7	query_1	TRUE	0.00771140398008805	17	31	4	0.129032258064516	0.235294117647059	CORUM:7581	CORUM	ESR1-TRAP/Mediator coactivator-complex	3383	2908	CORUM,CORUM,CORUM,CORUM	MED23,MED12,CDK8,MED24
8	query_1	TRUE	0.00771140398008805	17	31	4	0.129032258064516	0.235294117647059	CORUM:7582	CORUM	ESR2-TRAP/Mediator coactivator complex	3383	2909	CORUM,CORUM,CORUM,CORUM	MED23,MED12,CDK8,MED24
9	query_1	TRUE	0.0495636748752028	2	31	2	0.0645161290322581	1	CORUM:5226	CORUM	p14-Mp1-ERK2 complex	3383	1599	CORUM,CORUM	LAMTOR3,LAMTOR2
10	query_1	TRUE	0.0495636748752028	2	31	2	0.0645161290322581	1	CORUM:2655	CORUM	MYC-MAX complex	3383	1120	CORUM,CORUM	MAX,MYC
11	query_1	TRUE	0.0495636748752028	2	31	2	0.0645161290322581	1	CORUM:944	CORUM	Class C Vps complex (VPS11, VPS18, VPS16)	3383	527	CORUM,CORUM	VPS18,VPS16
12	query_1	TRUE	0.0495636748752028	2	31	2	0.0645161290322581	1	CORUM:896	CORUM	hMediator complex (MED23, CDK8, CCNC)	3383	499	CORUM,CORUM	MED23,CDK8
13	query_1	TRUE	0.0495636748752028	2	31	2	0.0645161290322581	1	CORUM:7584	CORUM	CDK8 subcomplex (CCNC, CDK8, MED12)	3383	2911	CORUM,CORUM	MED12,CDK8
14	query_1	TRUE	0.0495636748752028	2	31	2	0.0645161290322581	1	CORUM:3052	CORUM	MYC-MAX complex	3383	1359	CORUM,CORUM	MAX,MYC
15	query_1	TRUE	5.8006357538999e-08	11	51	5	0.0980392156862745	0.454545454545455	GO:0034058	GO:BP	endosomal vesicle fusion	21031	8671	NAS,NAS,IMP IBA NAS IEA,NAS,IDA IBA NAS	VPS33A,VPS18,VPS41,VPS16,VPS39
16	query_1	TRUE	1.61000520823791e-07	13	51	5	0.0980392156862745	0.384615384615385	GO:0035542	GO:BP	regulation of SNARE complex assembly	21031	9398	NAS,NAS,NAS,NAS,NAS	VPS33A,VPS18,VPS41,VPS16,VPS39
17	query_1	TRUE	1.73733568299811e-07	151	51	9	0.176470588235294	0.0596026490066225	GO:0006367	GO:BP	transcription initiation at RNA polymerase II promoter	21031	2165	TAS NAS,IDA,IDA NAS,IDA IBA NAS IEA,IMP,IEA,IDA,IDA,IBA	MED23,MED12,MED24,GTF2A2,KAT7,CAND1,DPY30,ELOA,DR1
